ID,名称,昵称,等级,职位,加入时间,上次登录时间,下线时间,本周功勋,累计功勋,斗技积分,累计勋章,赠送次数,受赠次数,今日任务完成次数,本周任务完成次数,道馆完成次数
5804bbd8df49a02504a910b1,璐瑶,,60,成员,2019-07-01 06:28:35,2019-09-01 09:02:30,,652,6720,1000,25878,165,82,0,173,62
582673733e33d341c06059d5,雪羽飛,,54,成员,2019-07-01 19:12:50,2019-09-01 08:47:26,,521,5763,1000,23982,58,59,0,150,30
57ebe791ba54c557f149ed59,奏与弦,,60,成员,2019-08-31 21:19:22,2019-09-01 08:32:27,,30,30,1000,59606,0,1,20,20,0
57dd4018df49a00eb3be995b,梅初夏,,60,会长,,2019-09-01 05:35:18,2019-09-01 06:47:52,496,49538,1000,287995,3293,1517,0,150,313
57e15da9270f1a12740f0422,别把雪人给惹恼了,,60,副会长,2019-06-30 19:23:53,2019-09-01 00:19:37,2019-09-01 00:40:01,323,3315,2700,175086,25,88,0,60,7
583ed6ff3974c91654cd21f9,柯曦,,60,副会长,2019-03-21 14:26:35,2019-08-29 11:25:27,2019-08-30 01:54:08,210,10219,1400,138531,130,151,0,120,65
57fdeb5e2a3cf45db0e47310,芝麻芝麻芝i,,60,副会长,2019-05-02 14:22:04,2019-08-31 21:35:58,2019-09-01 00:42:45,1105,12561,1200,168626,250,221,0,180,12
57dd421dc68929726aaaffc7,okra,,60,副会长,,2019-08-31 21:34:09,2019-08-31 21:49:30,276,25974,1000,114965,1404,967,0,90,144
57db02a056331a72e7cdc966,三千六道,,60,副会长,2017-11-12 18:11:18,2019-08-31 14:19:27,2019-08-31 15:52:30,80,26479,1000,168289,808,1098,0,30,85
57e7973aba54c557ee9fd264,你信不信,,60,副会长,2018-09-29 12:19:26,2019-08-27 21:27:43,2019-08-27 21:44:32,0,8161,1000,55172,539,282,0,0,28
5a7305a7a59a527bd97dad8b,柚子小号,,60,副会长,2019-03-08 08:19:55,2019-08-19 19:22:22,2019-08-19 20:08:26,0,4680,1000,71444,69,73,0,0,16
5839ae71287a9f6722c04e01,少年游w,,60,成员,2019-07-22 09:49:29,2019-09-01 00:04:05,2019-09-01 00:22:53,165,1462,2200,208771,40,64,0,30,2
5829d159357a155e5413db0f,SSSRRRRR,,60,成员,2019-07-02 00:42:29,2019-08-31 22:01:54,2019-08-31 22:21:19,35,1157,1800,20715,46,51,0,0,3
57df4bf4043bc274e61f2e1a,咸鱼是有梦想的,,60,成员,,2019-09-01 00:28:16,2019-09-01 01:44:57,162,10506,1600,137285,1712,615,0,41,59
583314514835ec638ad7a034,王权＋富贵,,60,成员,2018-11-10 01:25:56,2019-08-31 22:38:33,2019-09-01 02:11:49,245,12948,1600,30768,502,453,1,144,37
